"country","year","hhid","grappe","menage","vague","zae","region","milieu","hhweight","hhsize","eqadu1","eqadu2","hgender","hage","hmstat","hreligion","hnation","halfab","heduc","hdiploma","hhandig","hactiv7j","hactiv12m","hbranch","hsectins","hcsp","dali","dnal","dtot","pcexp","zzae","zref","def_spa","def_temp"
"SEN",2018,3005,3,5,1,1,1,1,533.025817871094,10,7.125,5.3904128074646,2,70,5,1,7,1,3,1,0,5,3,,,,3376520.76513672,3190757.548172,6567278.5,559563.25,391340.34375,333440.5,1.17364370822906,1.01466369628906
"SEN",2018,3006,3,6,1,1,1,1,533.025817871094,3,2.55000001192093,1.86606597900391,2,59,6,1,7,0,1,0,0,1,1,6,3,9,1939404.48095703,1772541.0958252,3711945.5,1054251,391340.34375,333440.5,1.17364370822906,1.01466369628906
"SEN",2018,3007,3,7,1,1,1,1,533.025817871094,1,0.790000021457672,1,1,67,1,1,7,1,4,1,0,5,3,,,,583268.560546875,1154814.26269531,1738082.875,1480928.875,391340.34375,333440.5,1.17364370822906,1.01466369628906
"SEN",2018,3008,3,8,1,1,1,1,533.025817871094,1,0.790000021457672,1,1,68,6,2,7,1,1,0,0,5,3,,,,992173.227661133,1243343.91998291,2235517.25,1904766.5,391340.34375,333440.5,1.17364370822906,1.01466369628906
"SEN",2018,3009,3,9,1,1,1,1,533.025817871094,6,4.58999997377396,3.24624681472778,1,50,2,1,7,1,1,0,0,1,1,4,3,9,2802001.57177734,919454.330383301,3721456,528476.125,391340.34375,333440.5,1.17364370822906,1.01466369628906
"SEN",2018,3010,3,10,1,1,1,1,533.025817871094,9,6.76999998092651,5.0157527923584,1,48,2,1,7,1,1,0,0,1,1,11,3,1,3833213.59960938,12804479.6559448,16637693,1575122.375,391340.34375,333440.5,1.17364370822906,1.01466369628906
"SEN",2018,4001,4,1,2,1,1,1,276.494476318359,3,2.81999999284744,2.03320145606995,1,52,3,1,7,1,1,0,0,1,1,4,3,9,1766758.32324219,749178.241607666,2515936.5,714565.6875,391340.34375,333440.5,1.17364370822906,0.991646707057953
"SEN",2018,4002,4,2,2,1,1,1,276.494476318359,2,1.75999999046326,1.61214470863342,1,39,2,1,7,1,6,2,1,1,1,6,3,9,1633988.48535156,2117784.64813232,3751773.25,1598344.25,391340.34375,333440.5,1.17364370822906,0.991646707057953
"SEN",2018,4003,4,3,2,1,1,1,276.494476318359,10,7.98500001430511,5.53945875167847,2,64,5,1,7,1,4,0,1,5,3,,,,3736033.12915039,4833306.27539063,8569339,730148.25,391340.34375,333440.5,1.17364370822906,0.991646707057953
"SEN",2018,4004,4,4,2,1,1,1,276.494476318359,5,4.48000001907349,3.3251039981842,1,61,2,1,7,1,3,0,0,1,1,11,3,4,1802251.18164063,2762613.28540039,4564864.5,777896.125,391340.34375,333440.5,1.17364370822906,0.991646707057953
"SEN",2018,4005,4,5,2,1,1,1,276.494476318359,1,1,1,1,41,3,2,7,1,1,0,0,1,1,4,3,9,643637.65625,935451.835571289,1579089.5,1345459,391340.34375,333440.5,1.17364370822906,0.991646707057953
"SEN",2018,4006,4,6,2,1,1,1,276.494476318359,5,3.6599999666214,3.00836849212646,1,47,2,1,7,1,6,2,0,1,1,10,3,4,2401686.97119141,2940731.3135376,5342418.5,910398.75,391340.34375,333440.5,1.17364370822906,0.991646707057953
"SEN",2018,4007,4,7,2,1,1,1,276.494476318359,2,1.45000004768372,1.61214470863342,1,64,4,2,7,1,4,1,1,5,3,,,,1515391.66113281,2353349.38476563,3868741,1648175.25,391340.34375,333440.5,1.17364370822906,0.991646707057953
"SEN",2018,4008,4,8,2,1,1,1,276.494476318359,1,1,1,1,41,3,1,7,0,1,0,0,1,1,4,3,9,653332.477050781,731711.420410156,1385043.875,1180123,391340.34375,333440.5,1.17364370822906,0.991646707057953
"SEN",2018,4009,4,9,2,1,1,1,276.494476318359,2,1.75999999046326,1.61214470863342,1,38,3,1,7,1,3,0,0,1,1,10,3,9,993801.507324219,1014203.09468079,2008004.625,855457.5,391340.34375,333440.5,1.17364370822906,0.991646707057953
"SEN",2018,4010,4,10,2,1,1,1,276.494476318359,1,0.790000021457672,1,1,55,2,1,7,0,1,0,0,1,1,5,3,10,508731.742675781,1064405.68536377,1573137.375,1340387.5,391340.34375,333440.5,1.17364370822906,0.991646707057953
"SEN",2018,4011,4,11,2,1,1,1,276.494476318359,15,11.4299999475479,7.65674352645874,2,87,5,1,7,0,1,0,0,5,3,,,,5704886.26812744,7367122.33366394,13072009,742531.375,391340.34375,333440.5,1.17364370822906,0.991646707057953
"SEN",2018,4012,4,12,2,1,1,1,276.494476318359,7,5.38000005483627,3.94895386695862,1,65,2,1,7,1,4,1,0,1,1,4,3,3,1938063.68322754,3527942.5243988,5466006,665328,391340.34375,333440.5,1.17364370822906,0.991646707057953
"SEN",2018,5001,5,1,1,1,1,1,302.120697021484,4,3.11000007390976,2.7683789730072,1,63,2,1,7,1,7,4,0,1,1,9,1,1,2438484.8112793,9217552.77941895,11656038,2482874,391340.34375,333440.5,1.17364370822906,1.01178658008575
"SEN",2018,5002,5,2,1,1,1,1,302.120697021484,20,15.6049999594688,9.98920059204102,1,62,2,1,7,1,6,2,0,1,1,6,3,5,5869885.42431641,9266782.88952637,15136668,644857.875,391340.34375,333440.5,1.17364370822906,1.01178658008575
"SEN",2018,5003,5,3,1,1,1,1,302.120697021484,12,8.79999995231628,5.98398590087891,1,43,2,1,7,1,4,0,0,5,3,,,,3949183.80517578,4522965.14453125,8472149,601556,391340.34375,333440.5,1.17364370822906,1.01178658008575
"SEN",2018,5004,5,4,1,1,1,1,302.120697021484,5,4.04000002145767,3.16717648506165,2,66,5,1,7,1,1,0,0,1,1,10,3,9,2593005.20947266,2305577.65667725,4898583,834764.9375,391340.34375,333440.5,1.17364370822906,1.01178658008575
"SEN",2018,5005,5,5,1,1,1,1,302.120697021484,9,6.06499999761581,5.16597747802734,2,66,5,1,7,1,1,0,0,5,3,,,,6724858.39746094,7621190.4619751,14346049,1358168.125,391340.34375,333440.5,1.17364370822906,1.01178658008575
"SEN",2018,5006,5,6,1,1,1,1,302.120697021484,10,8.62000000476837,5.68806028366089,2,80,5,1,7,0,1,0,1,5,3,,,,2224011.49243164,3425634.6081543,5649646,481376.59375,391340.34375,333440.5,1.17364370822906,1.01178658008575
"SEN",2018,5007,5,7,1,1,1,1,302.120697021484,7,6,4.40963888168335,1,55,2,1,7,0,3,0,0,1,1,10,3,9,2213446.76147461,2935886.53088379,5149333.5,626782.25,391340.34375,333440.5,1.17364370822906,1.01178658008575
"SEN",2018,5008,5,8,1,1,1,1,302.120697021484,11,8.35999989509583,6.49801921844482,2,28,1,1,7,1,9,5,0,5,3,,,,1422377.875,7984512.1322937,9406890,728646.875,391340.34375,333440.5,1.17364370822906,1.01178658008575
"SEN",2018,5009,5,9,1,1,1,1,302.120697021484,2,1.66000002622604,1.61214470863342,2,67,6,1,7,1,4,1,0,5,3,,,,507108.633789063,1240361.05145264,1747469.625,744463.4375,391340.34375,333440.5,1.17364370822906,1.01178658008575
"SEN",2018,5010,5,10,1,1,1,1,302.120697021484,10,7.40000009536743,5.68806028366089,1,49,2,1,7,1,6,2,0,1,1,10,3,10,6742552.21972656,14243048.2556152,20985600,1788072.5,391340.34375,333440.5,1.17364370822906,1.01178658008575
"SEN",2018,5011,5,11,1,1,1,1,302.120697021484,5,4.21000003814697,3.3251039981842,1,73,3,1,7,1,3,0,0,1,1,9,4,1,3081818.796875,4507350.65332031,7589169.5,1293266.375,391340.34375,333440.5,1.17364370822906,1.01178658008575
"SEN",2018,5012,5,12,1,1,1,1,302.120697021484,6,5.10000002384186,3.56045484542847,2,68,5,1,7,1,4,0,1,5,3,,,,6597003.65087891,8842887.78210449,15439891,2192586.5,391340.34375,333440.5,1.17364370822906,1.01178658008575
"SEN",2018,6001,6,1,2,1,1,1,354.943420410156,6,4.49000000953674,3.71639275550842,1,61,2,1,7,1,1,0,0,1,1,11,2,4,1514449.64331055,1376238.14486694,2890687.75,410500.46875,391340.34375,333440.5,1.17364370822906,0.991646707057953
"SEN",2018,6002,6,2,2,1,1,1,354.943420410156,3,2.01499998569489,2.03320145606995,1,32,2,1,7,1,6,5,0,1,1,9,1,2,907041.065429688,2346403.09313965,3253444.25,924029.5,391340.34375,333440.5,1.17364370822906,0.991646707057953
"SEN",2018,6003,6,3,2,1,1,1,354.943420410156,1,0.790000021457672,1,1,55,6,1,7,0,1,0,0,1,1,4,3,4,454835.069335938,456164.325927734,910999.375,776214.625,391340.34375,333440.5,1.17364370822906,0.991646707057953
"SEN",2018,6004,6,4,2,1,1,1,354.943420410156,5,4.43999993801117,2.84862303733826,2,44,3,1,10,0,1,0,0,1,1,6,3,9,1578777.27490234,1241526.12261963,2820303.5,480606.40625,391340.34375,333440.5,1.17364370822906,0.991646707057953
"SEN",2018,6005,6,5,2,1,1,1,354.943420410156,13,9.91000002622604,6.64404344558716,1,64,2,1,7,1,3,1,0,5,3,,,,4104096.5390625,4363803.48361206,8467900,555004,391340.34375,333440.5,1.17364370822906,0.991646707057953
"SEN",2018,6006,6,6,2,1,1,1,354.943420410156,2,1.75999999046326,1.61214470863342,2,32,1,1,11,1,9,10,0,1,1,9,3,6,1940279.11816406,5660318.90280151,7600598,3238034.75,391340.34375,333440.5,1.17364370822906,0.991646707057953
"SEN",2018,6007,6,7,2,1,1,1,354.943420410156,12,9.1949999332428,6.1313362121582,2,59,5,1,7,0,1,0,0,1,1,10,5,5,1756241.80957031,2075017.51348877,3831259.25,272034.5,391340.34375,333440.5,1.17364370822906,0.991646707057953
"SEN",2018,6008,6,8,2,1,1,1,354.943420410156,2,1.79000002145767,1.61214470863342,1,60,2,1,7,0,1,0,0,1,1,10,3,9,1139716.79394531,670202.981140137,1809919.75,771068.625,391340.34375,333440.5,1.17364370822906,0.991646707057953
"SEN",2018,6009,6,9,2,1,1,1,354.943420410156,7,5.17999994754791,3.94895386695862,2,32,1,1,12,1,1,0,0,1,1,11,3,3,4455383.21630859,5436237.14923096,9891620,1204018.375,391340.34375,333440.5,1.17364370822906,0.991646707057953
