"vague","grappe","menage","s11q00","s11q01","s11q02","s11q03__1","s11q03__2","s11q03__3","s11q04","s11q05","s11q06","s11q07","s11q08","s11q09a","s11q09b__0","s11q09b__1","s11q09b__2","s11q09b__3","s11q09b__4","s11q09b__5","s11q09b__6","s11q09b__7","s11q09b__8","s11q09b__9","s11q09b__10","s11q09b__11","s11q09b__12","s11q09b__13","s11q09b__14","s11q09b__15","s11q10","s11q11","s11q12","s11q13","s11q14","s11q15","s11q16","s11q17","s11q18","s11q19","s11q20","s11q21","s11q22","s11q23","s11q24a","s11q24b","s11q25","s11q26","s11q27a","s11q27b","s11q28","s11q29a","s11q29b_heure","s11q29b_minute","s11q30","s11q31a","s11q31b_heure","s11q31b_minutes","s11q32","s11q33__1","s11q33__2","s11q33__3","s11q33__4","s11q33__5","s11q33__6","s11q33__7","s11q34","s11q35","s11q36","s11q37a","s11q37b","s11q38","s11q39","s11q40","s11q41","s11q42","s11q43","s11q44","s11q45a","s11q45b","s11q46","s11q47","s11q48a","s11q48b","s11q49","s11q50","s11q51","s11q52a","s11q52b","s11q53__1","s11q53__2","s11q53__3","s11q53__4","s11q53__5","s11q53__6","s11q53__7","s11q53__8","s11q54","s11q55","s11q56","s11q57","s11q58","s11q59","s11q60","s11q61"
2,166,1,8,2,10,0,0,1,1,,,,,2,,,,,,,,,,,,,,,,,1,1,,,,,2,,1,1,1,1,1,,0,,1,18750,8,6,1,1,0,1,1,1,0,1,2,,,,,,,,1,,1,35000,3,1,2,,,,2,,,,2,,,,,1,,3000,2,0,0,1,2,0,0,0,0,2,2,2,,2,1,1,
1,449,9,1,3,11,0,0,0,1,,,,,1,1,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,2,,,,2,,2,,2,2,3,2,2,,,,2,,5,5,1,1,0,1,1,1,0,1,1,0,1,0,0,0,0,0,4,,,,,6,,,,,2,,,,2,,,,,2,,,,1,0,0,0,0,0,0,0,5,9,2,,7,5,4,2
2,326,1,1,3,6,0,0,0,1,,,,,2,,,,,,,,,,,,,,,,,2,,,,2,,2,,2,2,2,2,1,,12000,3,2,,1,1,0,,,,0,,,,2,,,,,,,,1,,1,6000,3,1,2,,,,2,,,,2,,,,,2,,,,0,0,2,1,0,0,0,0,2,5,2,,1,1,2,1
1,440,12,1,5,1,0,0,0,5,2500,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,7,4,2,2,,,,2,,6,6,30,1,1,5,30,1,1,10,1,0,1,1,0,0,1,0,4,,,,,4,,,,,2,,,,2,,,,,2,,,,0,0,1,0,0,0,0,0,1,12,2,,1,2,4,
1,355,8,6,5,2,0,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,4,5,2,,2,,2,2,6,2,1,2,3200,3,2,,2,2,0,,,,0,,,,2,,,,,,,,4,,,,,4,,,,,2,,,,2,,,,,2,,,,0,1,0,0,0,0,0,0,1,6,2,,4,4,4,2
1,550,7,1,5,5,0,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,1,5,2,,2,,1,1,4,3,2,,,,2,,10,10,2,3,3,5,2,3,0,5,2,,,,,,,,4,,,,,6,,,,,2,,,,2,,,,,2,,,,1,0,0,0,0,0,0,0,3,9,2,,4,4,3,2
2,384,1,2,3,2,0,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,1,5,2,,2,,2,1,3,2,2,,,,1,4500,3,3,200,5,0,4,200,5,0,4,2,,,,,,,,4,,,,,6,,,,,2,,,,2,,,,,2,,,,2,0,0,1,0,0,0,0,1,1,2,,4,5,4,1
1,163,6,2,3,7,0,0,1,1,,,,,1,1,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,-999999999,2,,,,2,,2,,1,1,3,2,1,1,,,1,15000,16,16,1,1,0,1,1,1,0,1,2,,,,,,,,1,3,2,12000,2,1,2,,,,2,,,,2,,,,,2,,,,0,1,2,0,0,0,0,0,1,3,2,,2,1,4,3
1,491,12,2,3,1,0,0,0,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,2,2,2,,,,1,1000,4,4,100,5,1,30,100,1,1,30,2,,,,,,,,4,,,,,4,,,,,2,,,,2,,,,,2,,,,1,2,0,0,0,0,0,0,3,4,1,2,2,1,1,
2,124,1,1,3,5,0,0,0,4,,,,,,,,,,,,,,,,,,,,,,,,1,5,2,,2,,2,4,3,2,2,,,,2,,6,6,100,10,0,2,100,10,0,2,2,,,,,,,,4,,,,,6,,,,,2,,,,2,,,,,2,,,,1,0,0,2,0,0,0,0,3,8,2,,4,4,4,2
1,9,10,1,3,5,0,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,4,1,2,,2,,1,1,3,2,2,,,,1,2100,4,4,20,1,0,30,20,1,0,30,2,,,,,,,,1,3,2,8000,2,1,2,,,,2,,,,2,,,,,1,3,2000,2,0,0,1,2,0,0,0,0,2,12,2,,2,2,2,3
1,451,1,1,5,1,0,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,1,5,2,,2,,2,7,4,3,2,,,,2,,5,5,1,1,0,1,1,1,0,1,1,0,0,1,0,0,0,0,4,,,,,4,,,,,2,,,,2,,,,,2,,,,1,0,0,0,0,0,0,0,5,9,2,,7,5,4,1
2,467,1,1,4,3,0,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,1,5,2,,2,,1,2,2,3,1,,1250,2,2,,2,2,0,,,,0,,,,1,0,1,0,0,0,0,0,4,,,,,4,,,,,2,,,,2,,,,,2,,,,1,0,0,0,0,0,0,0,5,9,1,1,7,5,3,2
2,528,1,1,3,4,0,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,1,5,2,,2,,1,1,3,2,1,,2000,3,2,,2,2,0,,,,0,,,,2,,,,,,,,1,,1,25000,3,1,1,3,1,1,2,,,,2,,,,,1,,3000,2,0,0,1,0,0,0,0,0,2,4,2,,4,2,3,1
2,504,1,1,5,4,0,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,1,5,2,,2,,2,7,4,3,1,,3000,2,2,,2,2,0,,,,0,,,,2,,,,,,,,4,,,,,4,,,,,2,,,,2,,,,,2,,,,0,1,0,0,0,0,0,0,5,11,,,,,4,4
1,191,6,1,3,3,0,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,4,5,2,,2,,2,4,2,3,1,2,750,2,2,,1,1,0,,,,0,,,,2,,,,,,,,1,2,2,10300,2,1,2,,,,2,,,,2,,,,,2,,,,1,2,0,0,0,0,0,0,1,9,2,,4,2,1,
1,159,5,1,3,2,0,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,5,3,2,,2,,2,8,3,3,2,,,,2,,3,3,10,7,0,4,10,7,0,4,1,0,1,0,0,0,0,0,4,,,,,4,,,,,2,,,,2,,,,,2,,,,0,1,2,0,0,0,0,0,4,3,2,,2,1,3,3
1,453,8,1,5,4,0,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,5,5,2,,2,,2,7,7,3,2,,,,2,,6,6,50,20,0,30,50,20,0,30,2,,,,,,,,4,,,,,4,,,,,2,,,,2,,,,,2,,,,1,0,0,0,0,0,0,0,5,9,2,,6,2,4,
