"vague","grappe","menage","s07aq00","s07aq01b","s07aq02b","s07aq03b","s07aq04b","s07aq05b","s07aq06b","s07aq07b","s07aq08b","s07aq09b","s07aq10b","s07aq11b","s07aq12b","s07aq13b","s07aq14b","s07aq15b","s07aq16b","s07aq17b","s07aq18b","s07aq19b","s07aq20b","s07aq21b"
2,553,2,1,4,,,4,,,4,,,4,,,4,,,4,,,4,,
2,258,1,1,4,,,4,,,4,,,4,,,4,,,1,2500,,4,,
2,140,2,2,1,2100,,4,,,1,750,,4,,,4,,,4,,,4,,
1,389,11,2,4,,,4,,,4,,,4,,,4,,,4,,,4,,
2,547,2,1,4,,,4,,,4,,,4,,,4,,,4,,,4,,
2,347,1,8,4,,,2,,4000,2,,2000,4,,,2,,1000,4,,,4,,
2,187,2,1,4,,,4,,,4,,,4,,,4,,,4,,,4,,
2,30,1,1,4,,,4,,,4,,,4,,,4,,,4,,,4,,
2,205,1,1,4,,,2,,5000,4,,,4,,,4,,,4,,,4,,
2,556,2,2,4,,,4,,,4,,,4,,,4,,,4,,,4,,
1,360,12,7,4,,,4,,,4,,,4,,,4,,,4,,,4,,
1,377,5,1,4,,,4,,,4,,,4,,,4,,,4,,,1,200,
1,550,10,1,4,,,4,,,4,,,4,,,4,,,1,500,,4,,
2,577,2,2,4,,,4,,,4,,,4,,,4,,,4,,,4,,
1,63,12,5,4,,,4,,,1,500,,4,,,4,,,4,,,4,,
1,13,6,1,4,,,4,,,4,,,4,,,4,,,4,,,4,,
1,241,2,1,1,2100,,1,4900,,1,4900,,4,,,4,,,4,,,4,,
1,191,10,1,4,,,4,,,4,,,4,,,4,,,4,,,4,,
1,104,10,5,4,,,4,,,4,,,4,,,4,,,4,,,4,,
2,435,2,1,4,,,4,,,4,,,4,,,4,,,4,,,4,,
2,376,1,2,4,,,4,,,4,,,4,,,4,,,4,,,4,,
2,441,2,1,1,1300,,4,,,4,,,4,,,4,,,4,,,4,,
1,70,6,2,4,,,4,,,4,,,4,,,4,,,4,,,4,,
2,292,4,1,4,,,4,,,4,,,4,,,4,,,1,2500,,4,,
1,438,3,1,4,,,4,,,4,,,4,,,4,,,4,,,4,,
2,56,1,10,4,,,4,,,1,600,,4,,,4,,,4,,,4,,
2,20,2,2,4,,,4,,,4,,,4,,,4,,,4,,,4,,
1,546,11,1,4,,,4,,,4,,,4,,,4,,,4,,,4,,
2,420,1,2,1,3850,,2,,5000,4,,,4,,,2,,700,4,,,4,,
2,109,2,3,4,,,4,,,4,,,4,,,4,,,4,,,4,,
1,463,12,5,4,,,4,,,4,,,4,,,4,,,4,,,4,,
2,594,1,2,4,,,4,,,4,,,4,,,4,,,4,,,4,,
2,504,2,1,1,2000,,4,,,4,,,4,,,4,,,4,,,4,,
2,234,1,1,1,1400,,4,,,4,,,4,,,4,,,4,,,4,,
1,398,10,1,4,,,4,,,4,,,4,,,4,,,4,,,4,,
1,49,2,1,4,,,4,,,4,,,4,,,4,,,4,,,4,,
1,104,5,2,4,,,4,,,4,,,4,,,4,,,4,,,4,,
2,192,2,1,4,,,4,,,4,,,4,,,4,,,4,,,4,,
2,523,1,1,4,,,4,,,4,,,2,,1000,1,700,,1,500,,4,,
1,489,12,2,4,,,4,,,4,,,4,,,4,,,4,,,4,,
2,373,1,4,4,,,4,,,4,,,4,,,4,,,4,,,4,,
1,278,8,1,4,,,4,,,4,,,4,,,4,,,4,,,4,,
2,498,1,14,1,5000,,2,,2500,1,10360,,4,,,1,1750,,1,2850,,4,,
2,119,1,1,4,,,4,,,4,,,4,,,4,,,4,,,4,,
2,528,2,8,4,,,4,,,4,,,4,,,4,,,4,,,4,,
2,475,1,2,4,,,4,,,4,,,4,,,4,,,4,,,4,,
1,525,1,1,4,,,2,,21000,2,,18850,4,,,4,,,4,,,4,,
2,397,1,1,4,,,4,,,4,,,4,,,4,,,4,,,4,,
2,84,1,2,4,,,4,,,1,5000,,1,1500,,4,,,4,,,4,,
1,377,2,3,4,,,2,,3500,4,,,4,,,4,,,4,,,4,,
2,151,1,1,2,,2800,2,,3500,2,,3500,1,350,,2,,750,4,,,4,,
2,149,1,1,1,700,,4,,,4,,,4,,,4,,,4,,,4,,
1,139,7,1,4,,,4,,,1,2800,,4,,,4,,,4,,,4,,
1,263,11,1,4,,,4,,,2,,2600,4,,,4,,,4,,,4,,
2,196,2,2,4,,,4,,,4,,,4,,,4,,,4,,,4,,
2,496,2,2,1,7000,,4,,,4,,,4,,,4,,,4,,,4,,
1,77,4,1,1,500,,4,,,1,4000,,4,,,4,,,4,,,4,,
1,527,12,1,4,,,4,,,4,,,4,,,4,,,4,,,4,,
2,386,1,1,3,1500,500,1,3750,,1,10500,,4,,,1,550,,1,2450,,4,,
1,233,3,1,4,,,4,,,4,,,1,150,,1,200,,4,,,4,,
1,63,10,1,1,1500,,2,,3500,2,,3500,4,,,3,350,500,1,200,,4,,
2,138,1,12,4,,,4,,,4,,,4,,,4,,,4,,,4,,
1,383,9,2,4,,,4,,,1,450,,4,,,4,,,4,,,4,,
2,194,1,1,4,,,4,,,4,,,4,,,4,,,4,,,4,,
1,438,1,1,4,,,4,,,4,,,4,,,4,,,4,,,4,,
1,154,11,18,3,3150,2000,2,,14400,2,,1500,1,500,,4,,,4,,,4,,
2,588,2,1,4,,,4,,,4,,,4,,,4,,,4,,,4,,
2,40,1,1,4,,,4,,,4,,,4,,,4,,,4,,,4,,
1,350,11,3,1,8750,,4,,,4,,,4,,,4,,,4,,,4,,
1,436,9,1,1,2000,,4,,,4,,,4,,,4,,,1,1000,,4,,
1,569,4,7,1,4900,,4,,,4,,,4,,,1,1400,,1,1400,,4,,
1,377,3,2,4,,,4,,,4,,,4,,,4,,,4,,,4,,
1,210,2,1,4,,,4,,,4,,,4,,,4,,,4,,,4,,
1,23,9,1,4,,,4,,,4,,,4,,,4,,,4,,,4,,
2,288,1,4,4,,,4,,,4,,,4,,,4,,,4,,,4,,
1,239,4,2,4,,,4,,,4,,,1,525,,4,,,4,,,4,,
1,541,9,1,1,1500,,4,,,4,,,4,,,4,,,4,,,4,,
2,581,1,1,4,,,2,,2000,1,2000,,4,,,1,1400,,4,,,4,,
2,130,1,2,4,,,4,,,4,,,4,,,4,,,4,,,4,,
2,240,1,12,4,,,4,,,4,,,4,,,4,,,4,,,4,,
2,292,5,1,2,,5000,2,,7000,2,,2000,4,,,4,,,4,,,4,,
1,522,3,1,1,4500,,4,,,4,,,4,,,4,,,4,,,4,,
1,249,1,1,4,,,4,,,4,,,4,,,4,,,4,,,4,,
2,162,1,5,4,,,4,,,4,,,1,300,,4,,,4,,,4,,
2,469,1,1,4,,,4,,,4,,,4,,,4,,,4,,,4,,
1,514,6,1,4,,,4,,,4,,,4,,,4,,,4,,,4,,
