"hh_id","Sea Production","Afric Azote","Africa Feed","Omega Fishing","Min_tt_factories","Min_Factory_name","mean_tt_factories","mean_Min_tt_factories"
"2_521_1",286.333044482742,291.865007051206,246.894444302729,214.923881554251,214.923881554251,"Omega Fishing",260.004094347732,260.004094347732
"1_355_4",136.40916292849,235.965512114594,199.379725676967,213.391918985787,136.40916292849,"Sea Production",196.286579926459,196.286579926459
"1_477_10",413.404112294607,514.132034355965,475.404112294607,466.972654789532,413.404112294607,"Sea Production",467.478228433678,467.478228433678
"2_124_1",513.688383542069,455.08535316174,409.144227664785,363.379725676967,363.379725676967,"Omega Fishing",435.32442251139,435.32442251139
"2_378_1",70.8847763108502,261.134559672906,230.749783362056,276.637084989848,70.8847763108502,"Sea Production",209.851551083915,209.851551083915
"1_74_12",190.651803615609,34.3847763108502,21.5563491861041,93.5685424949237,21.5563491861041,"Africa Feed",85.0403679018717,85.0403679018717
"2_187_1",244.137084989848,407.842712474621,372.529003975636,392.298556597336,244.137084989848,"Sea Production",354.20183950936,354.20183950936
"1_529_4",662.648845022782,NA,620.523953341753,581.925973595306,NA,"Omega Fishing",NA,NA
"2_245_1",341.931024229189,339.462986797653,294.492424049176,255.894444302729,255.894444302729,"Omega Fishing",307.945219844687,307.945219844687
"2_458_1",359.735064736295,484.345237791562,447.759451353935,439.872149726143,359.735064736295,"Sea Production",432.927975901984,432.927975901984
"2_431_1",467.81832585698,409.215295476651,363.274169979696,324.475180106473,324.475180106473,"Omega Fishing",391.19574285495,391.19574285495
"2_156_1",173.610173055266,168.740115370178,126.840620433566,123.923881554251,123.923881554251,"Omega Fishing",148.278697603315,148.278697603315
"1_224_9",427.08535316174,437.0609665441,392.090403795623,353.492424049176,353.492424049176,"Omega Fishing",402.43228688766,402.43228688766
"1_449_9",543.124458405141,516.497041407172,471.526478658694,432.928498912247,432.928498912247,"Omega Fishing",491.019119345813,491.019119345813
"1_451_1",476.269119345814,451.399061660725,406.428498912247,367.8305191658,367.8305191658,"Omega Fishing",425.481799771146,425.481799771146
"1_9_10",223.365007051206,4.91421356237309,49.8198051533946,118.074639149334,4.91421356237309,"Afric Azote",99.0434162290769,99.0434162290769
